input,target,answer_choices,type
"阅读下列论文的摘要，然后生成这篇摘要的多个关键词。摘要：新元古代的湘桂海盆夹持在中上扬子陆块的东南缘与华夏地块群之间,是古华南洋与下扬子陆块俯冲碰撞后在西南方向的残留海.东段古华南洋俯冲的地质记录发生在860～1034Ma间,为绍兴-江山-萍乡碰撞带,形成江南岛弧造山带；西段古华南洋与上扬子陆块俯冲的构造地质记录,推测在湖南的新化-城步至广西的三江一带,时间为850～820Ma,形成雪峰-四堡岛弧造山带,但无陆陆碰撞的记录.东、西两段构造活动有近1亿年至数十百万年的时间差,为湘桂海盆在停止扩张的洋底上提供了发育的空间,并转为弧前-深海盆地.由萍乡向南西方向至湖南茶陵-郴州为一结合带,西侧的沉积物属扬子沉积构造域和湘桂海盆,沉积了细屑浊积岩和硅泥质岩；东侧为华夏沉积构造域,包括赣、闽和粤北,充填了与热活动有关细碧岩、含铁石英岩和火山碎屑沉积岩；郴州至贺县间,有一东-西向的古南岭裂陷海与之相连,是分隔云开地块、粤东南地块与罗霄-武夷地块的深海槽.在早古生代构造旋回中,湘桂海盆、古南岭海槽以及华夏沉积构造域,分别转为不同构造走向的湘桂加里东褶皱带和华南加里东造山带.。摘要的关键词有这些：_答案：",华南加里东造山带，扬子沉积构造域，湘桂残留海盆，华夏沉积构造域,,generate
这是一个成语填空任务。上文是：绍兴人的读书与习字练书法融为一体。五六岁的小孩开始认方块宇，随即习字，从写“上大人，孔乙己，化三千，七十字”开始，继则抄“人之初，性本善”、“天地玄黄，宇宙洪荒”。宇越写越好，启蒙读物也就深印脑海。练字的同时，心也就静下来了，书也更读得进了，。 _下文是:。在乡间读书人家，随便找几个人来，几乎都能写得一手好字，颜、柳、米、王各体都有，真可谓野有遗才。_候选的成语：百步穿杨，喧宾夺主，低眉顺眼，锦上添花，两肋插刀，画龙点睛，百密一疏，相辅相成，东挪西凑，浑然一体。请问：我们应该填写哪个成语？_答案：,相辅相成,"['百步穿杨', '喧宾夺主', '低眉顺眼', '锦上添花', '两肋插刀', '画龙点睛', '百密一疏', '相辅相成', '东挪西凑', '浑然一体']",mrc
以下两句话的意思相同的吗？“花呗临时额度能取消么”，“我不需要蚂蚁花呗的临时额度，麻烦帮我取消”。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
以下两句话的意思相同的吗？“更换手机后用不了花呗”，“已经更换手机号为什么花呗用不了”。选项：是的，不是。答案：,不是,"['是的', '不是']",classify
这是关于哪方面的新闻？2千多万迈凯伦现身聚会，却被这台车抢镜了，网友：全球就99台_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,汽车,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
下面两个句子语义是“相同”或“不同”？“花呗收钱存到哪了”，“花呗收的钱在哪里”。选项：相同，不同。答案：,不同,"['相同', '不同']",classify
"假设“非常感谢河南陈家沟王家拳的王占海老师应约前来,谢谢您”我们可以推断“王占海已经教授王家拳数十年”？是的,不是,或也许？_答案：",也许,"['是的', '不是', '也许']",nli
本列表列出2009年由香港亚洲电视本港台所播放的剧集。香港时间逢星期一至五10:50-12:15播出；27/07起，改于10:45-12:00播出香港时间逢星期一至五13:00-14:00播出香港时间逢星期一至五15:30-16:10播出；19/10起改于15:30-16:15播出香港时间逢星期一至五19:00-20:00播出；03/11起改于19:30-20:30播出香港时间逢星期一至五20:30-21:30播出；20/07至02/10，延长至1小时30分钟，即于20:30-22:00播出香港时间逢星期一至五21:30-22:30播出；05/10起，调至21:30-22:45播出香港时间逢星期一至五00:15-01:15播出；28/07起，每天改为播放两集香港时间逢星期一至五00:30-01:30播出；11/05起至马季完结，无须播放赛马节目日子则播放两集，提早至23:50播出香港时间逢星期一至五01:30-02:30播出香港时间逢星期一至五02:30-03:30播出香港时间逢星期一至五03:30-04:30播出香港时间逢星期一至五04:30-05:30播出香港时间逢星期六、日11:00-12:00播出香港时间逢星期六、日13:00-15:00播出（每次播放两集）香港时间逢星期六03:00-05:00播出香港时间逢星期六、日04:40-05:35播出香港时间逢非赛马日11:00-12:15播出；25/07起，改为只于逢星期日播出香港时间逢星期日13:00-15:00播出，30/08起改于13:00-16:00播出香港时间逢星期日21:30-22:30播出香港时间逢星期日00:05-01:55播出香港时间逢星期日01:55-03:00播出香港时间逢星期六、日03:00-04:40播出香港时间逢星期六、日04:40-05:35播出香港时间逢星期一至六05:35-06:30播出香港时间逢星期一至日00:00-03:25播出_ 参考上述上下文，本列表列出的是哪一年所播放的剧集？_答案：,2009年,[],mrc
让世界充满爱，1986年中国大陆的一首献给“国际和平年”的群星合唱公益歌曲，作词为陈哲、小林、郭峰、王健、孙铭，作曲、编曲为郭峰，共有一百多名歌手共同演唱。该曲共分三部分，其中第二部分“轻轻地捧着你的脸，为你把眼泪擦干……”流传最为广泛，现在说到《让世界充满爱》一般就指第二部分。1986年5月9日，北京工人体育馆举行的一场演唱会的主题曲。丁武，于佳易，于海燕，于静燕，马晓艺，马凌彦，王兰，王虹，王迪，王立森，王洁实，王路明，方逊，方智，方霆，方霈，韦唯，毛阿敏，田鸣，田震，庄鲁迅，吕邦银，吕仰平，傅迪声，刘谷，刘岩，刘欣茹，刘巍巍，刘建国，朱桦，成方圆，任雁，牟杰，牟玄甫，华欣，迟飞飞，托雅，孙国庆，孙英华，乔姗，乔晓彬，杜雷，吴晓芸，吴晓虹，吴晶晶，刑岩，劳俊浩，时延燕，许丽娟，陈莉丽，陈梅荣，应楠，宋明华，李征，李泰波，李爱萍，李方方，李玲玉，张暴默，张世柱，张伟进，张燕妮，张海波，张青，张晶，张宝国，张彤，张锡瑾，张波，张静，尚凤琴，郑绪岚，周峰，岳娜，岳彩帼，姜浩东，孟地，赵金华，赵雅林，赵刚，赵大为，赵丽，林静，柳培德，胡晓晴，胡斌，胡月，胡寅寅，胡佑山，胡平，相青，郭容，郭鸣凤（应为郭鸣岚），祁竺蕾，徐小燕，徐明，索宝丽，贾燕，黄红英，黄强，崔健，常宽，梁竹，曾咏贤，程伟，蒋强，紫沙莉，蔡其平，蔡国庆，蔡金梁，谢莉斯，霍永承其中田震参与了录音，但未出现在演唱会现场。_ 从上面的段落中，根据一个合理的答案：一百多名歌手_那么问题可能是：,《让世界充满爱》是由多少名歌手共同演唱？,[],mrc
"“他们家也有一个孩子,大小与小林家孩子差不多,两家孩子常在一起玩,也常打架”问题：“他们家的孩子是独生子”真的,假的,或未知？_答案：",未知,"['真的', '假的', '未知']",nli
我想知道下面两句话的意思是否相同。“密付不能设置从花呗付款吗”，“花呗为什么不能使用密付付款”是相同的吗？。选项：是的，不是。答案：,不是,"['是的', '不是']",classify
这篇新闻会出现在哪个栏目？中国可以完全由自己来生产每年所消费的大豆吗？_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,财经,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
什么类别最好的描述了这段话？山村老太给倒插门的儿子送土鸡蛋，儿媳回赠一篮柿子，回家后乐了_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,故事,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
"这是关于哪方面的新闻： 故事,文化,娱乐,体育,财经,房产,汽车,教育,科技,军事,旅游,国际,股票,农业,游戏?重磅！5月13—14号，莱西的女士和母亲来河头店有大礼！免费！_答案：",旅游,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
生成一个与这个意思相同的句子:“绑定的是信用卡，也可以还花呗的吗”。答案：,淘宝浦发信用卡能还花呗吗,[],generate
"假定下面是真的“换句话说濮阳就是世界的”因此,“濮阳是座现代化城市”是必然的,可能的,或不可能？_答案：",可能的,"['必然的', '可能的', '不可能']",nli
"假设“一旦进入该县、市,宽阔的马路、青翠的绿化带、清洁的路面便跃入眼睑,给人留下良好印象”我们可以推断“该市有很多公园”？是的,不是,或也许？_答案：",也许,"['是的', '不是', '也许']",nli
哪个类别最好的描述了这篇新闻？中国在应对人口老龄化方面取得成效_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,财经,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
这个句子“蚂蚁借呗当天还款当天能借出来吗”转述(意思是一样的)了下面这句话？“借呗要按月还款吗”。选项：是的，不是。答案：,不是,"['是的', '不是']",classify
我想知道下面两句话的意思是否相同。“蚂蚁借呗额度没有了，一次性还清额度会立马恢复吗”，“借呗未还清的额度还清之后 会立马有额度吗”是相同的吗？。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
我可以用以下的句子：“加油卡可以用花呗吗”，来替换这个句子：“可以用花呗给中石油卡充值吗”，并且它们有相同的意思？。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
"给定“后来还有一点照片给,可以给你们寄.”因此，它必定是真的“照片不止一张。”？是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
"对话：男：奇怪，我记得这条街上有一个咖啡馆儿的。女：没关系，我们找个地方坐坐就行。问题：女的是什么意思？选项：他不渴,咖啡太甜,哪里都可以_答案：",哪里都可以,"['他不渴', '咖啡太甜', '哪里都可以']",mrc
这是关于哪方面的新闻？5月8日复盘：永和智控、新光药业、华锋股份、凯伦股份_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,财经,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
阅读以下文章，并选择一个合适的成语。文章：_巨大压力的高尾绅路弈出名局，背水布阵，先捞后洗，灵活取舍，大局明晰，__胜出，从而避免了第三阶段比赛没有日本棋手的难堪。难怪有日本棋迷在网上盛赞高尾绅路是“日本英雄”，这样的评价真是让高尾绅路为之骄傲。_ 候选成语：势如破竹，兵不血刃，大刀阔斧，东山再起，另起炉灶，安家立业，出谋划策，重整旗鼓，忠心耿耿，改弦更张。答案是：,兵不血刃,"['势如破竹', '兵不血刃', '大刀阔斧', '东山再起', '另起炉灶', '安家立业', '出谋划策', '重整旗鼓', '忠心耿耿', '改弦更张']",mrc
这个句子“我淘宝退款到花呗，为什么花呗金额还是那么多”转述(意思是一样的)了下面这句话？“我用花呗买了一件衣服但是我退货了，也已经退款了，这个钱退到了花呗里，但是我还钱的数额还是那么多没有少”。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
"这是关于哪方面的新闻： 故事,文化,娱乐,体育,财经,房产,汽车,教育,科技,军事,旅游,国际,股票,农业,游戏?母亲节将至，本周末上海这些景点对女性有特别优惠！_答案：",旅游,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
"摘要：研究低气速下的氨吹脱系统,建立了定量的氨扩散传质动力学模型,分析系统温度对氨扩散传质的影响.结果表明,氨吹脱过程中,在废水pH值大于12的条件下,氨分子大部分通过气泡扩散,只有极少量通过液相表面扩散；氨的气液传质阻力主要来自于气膜；随着系统温度的升高,气泡直径略微减小,气泡上升时间基本稳定,液相总传质系数迅速增大,气液传质阻力大幅降低._ 以下的关键词都是这篇摘要合适的关键词吗？关键词：气液传质系数，高浓度氨氮废水，扩散动力学，传质阻力。答案是：_选项：是的，不是_答案：",不是,"['是的', '不是']",classify
"“按理,顾客从商店买回的东西遭到损坏,不是产品质量问题,生产厂家可以撒手不管”仅使用以上描述和你对世界所了解的,“部分产品有质量问题”是正确,错误,或未知？_答案：",未知,"['正确', '错误', '未知']",nli
你会把这个描述推荐给哪方面的人？银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿《西班牙语助手》Android版拥有与桌面版相同容量的词库。包括西汉汉西词典、西班牙语近义词词典、西班牙语专业词典以及西西、西英等大量词库轻松查变位，支持西语所有十九种变位形式以及变位反查功能西语单词真人发音_答案：,工具,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
生成一个与这个意思相同的句子:“能把网商贷转为借呗吗”。答案：,网商贷什么换成借呗,[],generate
"“曾经不可思议的变得司空见惯了:时装模特在电视里一展风采”我们这样说有道理吗“电视中有时装节目”？是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
下面两个句子语义是“相同”或“不同”？“淘宝上怎么激活蚂蚁花呗”，“淘宝买东西怎么激活蚂蚁花呗”。选项：相同，不同。答案：,相同,"['相同', '不同']",classify
我可以用以下的句子：“花呗可以点外卖么”，来替换这个句子：“花呗可以在小店花吗”，并且它们有相同的意思？。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
这是关于哪方面的新闻？淄博重要教育资讯晚间一览_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,农业,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
"初期恒星体 (YSO)表示是一颗进入恒星演化早期阶段的天体。这个分类中包含两个小组：原恒星和主序前星。有时，也会以质量区分为：大质量初期恒星体(MYSO)、中质量初期恒星体和棕矮星。初期恒星体经常会依据以光谱能量分布的斜率做标准来分类，这是Lada C.J. 和 Wilking B.A.在1984年提出的，他们以谱指数formula_1的间隔和数值为依据，将YSO分为三种(I、II和III)：formula_2.此处formula_3是频率，formula_4是通量密度。formula_1是依据波长2.2–10 formula_6 (近红外区)计算的数值。稍后，格林等人在1994年加入了第四类""平波谱""做为分类的来源。而在1993年，安德烈等人发现在次微米波段有著强烈辐射，但在formula_7非常微弱的第0类。这种分类架构大致反映了演进化的序列。人们认为最深埋在0类的来源朝著I类发展的过程，星周包层便会开始消退。最后，当它们成为主序前星时，在光学上就能够在恒星诞生线上被看见。YSO也和早期的恒星演化联系在一起：拱星喷流和偶极外向流、迈射(微波)、赫比格-哈罗天体、原行星盘 (拱星盘)。_问题：初期恒星体经常会依据什么标准来作分类？_回答：",光谱能量分布的斜率,[],mrc
这篇新闻会出现在哪个栏目？特朗普前第一夫人和希拉里谁更胜一筹？_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,国际,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
下面两个句子语义是“相同”或“不同”？“蚂蚁借呗过期二天还款信用会受影响吗”，“借呗迟了一天还会影响信用么”。选项：相同，不同。答案：,不同,"['相同', '不同']",classify
这个App应用程序的描述会出现在哪个栏目？中国最好的电视台在一个单一的应用程序。CCTV01CCTV02CCTV03CCTV04CCTV05CCTV06CCTV07还有更多和更多如果您注意到电视台不工作，请通过评论报告，我们将为您解决需要有效的互联网连接我们不控制电视台和节目的可用性，我们也不会产生他们广播的内容。DMCA所有图片版权归其各自所有者所有。除非另有说明，本应用程序不会声明对本网站上显示的任何图片或名称的所有权。本申请意图不意图或企图冒犯或违反任何实体的版权或知识产权。本应用程序使用的某些图像，链接和名称取自网络，并被认为属于公有领域。此外，根据本应用程序的最佳知识，所有内容，图像，照片等如果有的话正在使用符合公平使用原则1976年版权法，17USC§107。资源提供仅供评论/批评/新闻报道/教育用途。，。_选项：银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿_答案：,视频,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
以下两句话的意思相同的吗？“关闭花呗，以后不想再用”，“宝花呗不使用，关闭花呗”。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
"给定“所以人,人,就是说那个观众人啊多.”是否遵循“观众是去看电影的”是的,不是,或也许？_答案：",也许,"['是的', '不是', '也许']",nli
参考下面的段落，回答下列问题：_段落：唐绍华（），安徽巢县人，中华民国剧作家、导演、诗人、学者。台湾影剧事业的开拓者之一。民国22年（1933年）国立中央大学毕业。曾任《中央日报》记者，并创办《中国人》旬刊（后改为《良心话》），主编《文化杂志》、《新世纪》及《国是》等刊物。抗战时在重庆编演话剧「碧血黄花」，轰动一时。抗战胜利后，在上海创办「中国第一电影企业公司」、「群星影艺公司」。民国38年任香港新华影业公司制片主任。民国40年到台，曾任台湾影业公司副总经理、嘉禾影业公司董事长，并在台湾艺术专科学校、政工干校、辅仁大学、中国文化大学任教。民国37年由他参与编剧的《花莲港》，是二战后台湾最早拍摄的电影之一。民国39年他导演的「春满人间」，带起了台湾民营乡土片的风潮。唐绍华所导的台语片《廖添丁传》（1956年）亦颇受瞩目。其他_问题：民国37年唐绍华参与编剧了哪部剧？_答案：,《花莲港》,[],mrc
我可以用以下的句子：“我怎么使用蚂蚁借吧”，来替换这个句子：“求蚂蚁借呗再次能使用”，并且它们有相同的意思？。选项：是的，不是。答案：,不是,"['是的', '不是']",classify
"这个App应用程序的描述会出现在哪个栏目？字典通是一款新华汉语字典，收录汉字根据中国社科院语言所修订标准做参照。该版本共收录23000+个汉字,并配有真人发音，其宗旨是在于帮助读者正确掌握和使用汉字，更好学习中国文字语言。软件特点我们说你敢下载使用，我们就敢免费提供。用户评价无门槛操作，小学生使用起来照样666。用户评价矫正读音，播音员走一波。字典特点1、本地查询功能离线字库，无网络也可以正常使用，免拓展，拒绝补丁包。2、汉字查询方式拼音、部首、汉字、五笔均可。3、汉字多维度解析汉字字义、用法解释、字形结构、汉字笔画数、部首、五笔代码、笔顺等。4、网络字典查询百度查询、汉典查询、360问答、维基百科、互动百科、百度知道多种渠道全面了解新华汉字字义。5、发现知识拓展汉语拼音方案、标点符号用法、汉字笔画规则、计量单位简表、汉语简繁对照表等。如遇到任何问题均可以在软件中使用用户反馈功能获取帮助。,离线发音版新华汉语字典工具,2.3版本更新日志1、优化数据库。2、修改已知bug，使用更流畅。_选项：银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿_答案：",中小学,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
"假设“靠你的天分加上你把你的天分能够努力出来”我们可以推断“没有人能做成这件事”？是的,不是,或也许？_答案：",不是,"['是的', '不是', '也许']",nli
"“市政府是如何看待的呢”根据前面的段落，以下是否是真的“政府要对城市中发生的事情表态”？是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
"给定“中华民族大家庭的各族儿女和睦相处、和衷共济、和谐发展、心心相印,一定会更加幸福安康、兴旺发达”是否遵循“中国包含了许多民族”是的,不是,或也许？_答案：",是的,"['是的', '不是', '也许']",nli
这篇新闻会出现在哪个栏目？章丘龙山300亩春园樱桃熟了_选项：故事，文化，娱乐，体育，财经，房产，汽车，教育，科技，军事，旅游，国际，股票，农业，游戏_答案：,农业,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
这个句子“以前能用花呗缴费着嘛”转述(意思是一样的)了下面这句话？“前几天还能用花呗充值”。选项：是的，不是。答案：,是的,"['是的', '不是']",classify
"以下内容为真：“作为美国,它也不希望美元长久升值下去,从而影响其产品出口”那么下面的陈述：“苏联不希望美元长久升值。”是真的,假的,或未知？_答案：",未知,"['真的', '假的', '未知']",nli
"这个App应用程序的描述会出现在下列哪个栏目？银行，社区，电商，支付，经营，卡牌，借贷，驾校，理财，职考，新闻，旅游，交通，魔幻，医疗，影像，动作，工具，体育，小说，运动，相机，工具，快递，教育，股票，菜谱，行车，仙侠，亲子，购物，射击，漫画，小学，同城，成人，求职，电子，艺术，赚钱，约会，经营，兼职，视频，音乐，英语，棋牌，摄影，养生，办公，政务，视频，论坛，彩票，直播，其他，休闲，策略，通讯，买车，违章，地图，民航，电台，语言，搞笑，婚恋，超市，养车，杂志，在线，家政，影视，装修，资讯，社交，餐饮，美颜，挂号，飞行，预定，票务，笔记，买房，外卖，母婴，打车，情侣，日程，租车，博客，百科，绘画，铁路，生活，租房，酒店，保险，问答，收款，竞技，唱歌，技术，减肥，工作，团购，记账，女性，公务，二手，美妆，汽车，行程，免费，教辅，两性，出国，婚庆，民宿用于记录迟到,加班,调休,年假,病假,事假的信息,实时查看每月迟到,加班,调休的天数,支持自定义月周期,在也不会忘记这个迟到了多少天等等.同时可以根据入职日期查看今年年假,病假,事假等的记录.20120517修正加班,调休统计有误的BUG20120530增加修改,删除记录的功能,,提升体验，修复部分问题。_答案：",办公,"['银行', '社区', '电商', '支付', '经营', '卡牌', '借贷', '驾校', '理财', '职考', '新闻', '旅游', '交通', '魔幻', '医疗', '影像', '动作', '工具', '体育', '小说', '运动', '相机', '工具', '快递', '教育', '股票', '菜谱', '行车', '仙侠', '亲子', '购物', '射击', '漫画', '小学', '同城', '成人', '求职', '电子', '艺术', '赚钱', '约会', '经营', '兼职', '视频', '音乐', '英语', '棋牌', '摄影', '养生', '办公', '政务', '视频', '论坛', '彩票', '直播', '其他', '休闲', '策略', '通讯', '买车', '违章', '地图', '民航', '电台', '语言', '搞笑', '婚恋', '超市', '养车', '杂志', '在线', '家政', '影视', '装修', '资讯', '社交', '餐饮', '美颜', '挂号', '飞行', '预定', '票务', '笔记', '买房', '外卖', '母婴', '打车', '情侣', '日程', '租车', '博客', '百科', '绘画', '铁路', '生活', '租房', '酒店', '保险', '问答', '收款', '竞技', '唱歌', '技术', '减肥', '工作', '团购', '记账', '女性', '公务', '二手', '美妆', '汽车', '行程', '免费', '教辅', '两性', '出国', '婚庆', '民宿']",classify
"这是关于哪方面的新闻： 故事,文化,娱乐,体育,财经,房产,汽车,教育,科技,军事,旅游,国际,股票,农业,游戏?为什么许家印成了首富？_答案：",体育,"['故事', '文化', '娱乐', '体育', '财经', '房产', '汽车', '教育', '科技', '军事', '旅游', '国际', '股票', '农业', '游戏']",classify
"给定“一方面,要增加煤炭、电力、油品生产”我们应该假定“我们是一家大公司”是真的吗？是的,不是,或也许？_答案：",也许,"['是的', '不是', '也许']",nli
